"","Argentina","Belgium","Chile","China (People's Republic of)","Colombia","India","Israel","Japan","Korea","Luxembourg","Spain","United Kingdom","United States"
"2020-01-31",0,0,0,0.00191812380822454,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0.00222584420526592,0,0,0,0,0,0,0,0,0
"2020-02-02",0,0,0,0.00312849070325394,0,0,0,0,0,0,0,0,0
"2020-02-03",0,0,0,0.00351826987283968,0,0,0,0,0,0,0,0,0
"2020-02-04",0,0,0,0.00369264476449646,0,0,0,0,0,0,0,0,0
"2020-02-05",0,0,0,0.00441065902425965,0,0,0,0,0,0,0,0,0
"2020-02-06",0,0,0,0.00473889411443711,0,0,0,0,0,0,0,0,0
"2020-02-07",0,0,0,0.00517996001686308,0,0,0,0,0,0,0,0,0
"2020-02-08",0,0,0,0.00560051122615294,0,0,0,0,0,0,0,0,0
"2020-02-09",0,0,0,0.00557999653301686,0,0,0,0,0,0,0,0,0
"2020-02-10",0,0,0,0.00602106243544281,0,0,0,0,0,0,0,0,0
"2020-02-11",0,0,0,0.00636981221875637,0,0,0,0,0,0,0,0,0
"2020-02-12",0,0,0,0.00568256999869731,0,0,0,0,0,0,0,0,0
"2020-02-13",0,0,0,0.00754940707408163,0,0,0,0.000112904575198229,0,0,0,0,0
"2020-02-14",0,0,0,0.00823664929414076,0,0,0,0.000112904575198229,0,0,0,0,0
"2020-02-15",0,0,0,0.00880080335538321,0,0,0,0.000112904575198229,0,0,0,0,0
"2020-02-16",0,0,0,0.00883157539508736,0,0,0,0.000112904575198229,0,0,0,0,0
"2020-02-17",0,0,0,0.0087392592759749,0,0,0,0.000112904575198229,0,0,0,0,0
"2020-02-18",0,0,0,0.00913929579212876,0,0,0,0.000225809150396459,0,0,0,0,0
"2020-02-19",0,0,0,0.0102470892214777,0,0,0,0.000225809150396459,0,0,0,0,0
"2020-02-20",0,0,0,0.00891363416763173,0,0,0,0.000112904575198229,0.000276819343856714,0,0,0,0
"2020-02-21",0,0,0,0.00735451748928871,0,0,0,0.000112904575198229,0.00055363868771343,0,0,0,0
"2020-02-22",0,0,0,0.00800073032307571,0,0,0,0.000112904575198229,0.00055363868771343,0,0,0,0
